aX,aY,aZ,gX,gY,gZ
0.760,0.067,0.659,0.244,0.122,0.000
0.762,0.068,0.656,0.366,0.366,0.000
0.762,0.068,0.650,0.183,0.488,-0.244
0.759,0.064,0.647,0.061,-0.183,0.061
0.762,0.065,0.654,0.488,-0.244,0.000
0.760,0.065,0.657,0.122,-0.427,-0.244
0.761,0.068,0.661,0.305,0.061,0.366
0.765,0.073,0.660,0.305,0.427,0.305
0.762,0.071,0.655,0.183,0.305,-0.183
0.762,0.068,0.647,0.183,0.610,-0.549
0.761,0.064,0.648,-0.244,0.244,-0.488
0.759,0.062,0.653,0.122,-0.244,-0.305
0.757,0.058,0.659,0.244,0.061,0.000
0.762,0.067,0.652,-0.061,0.244,0.610
0.761,0.068,0.651,0.000,0.000,0.305
0.762,0.066,0.655,0.488,-0.244,-0.061
0.762,0.070,0.656,0.183,0.061,0.305
0.763,0.071,0.652,0.244,0.183,-0.061
0.764,0.070,0.648,-0.122,0.183,-0.305
0.759,0.065,0.652,-0.122,-0.488,-0.366
0.760,0.065,0.661,-0.122,-0.305,-0.244
0.757,0.059,0.660,-0.244,0.122,-0.183
0.761,0.062,0.656,0.366,0.122,0.488
0.764,0.069,0.652,0.244,0.244,0.244
0.760,0.068,0.648,0.122,0.000,-0.122
0.764,0.071,0.654,0.061,-0.305,0.061
0.763,0.070,0.660,-0.122,0.244,-0.244
0.758,0.066,0.658,0.122,0.305,-0.366
0.760,0.064,0.660,-0.061,0.488,0.000
0.763,0.068,0.654,0.122,0.427,-0.183
0.760,0.066,0.645,0.122,0.305,-0.122
0.760,0.060,0.650,0.122,0.000,0.244
0.764,0.066,0.650,0.061,-0.061,0.427
0.762,0.072,0.653,0.610,-0.732,0.122
0.763,0.070,0.660,0.000,-0.305,-0.305
0.764,0.070,0.661,0.122,0.183,-0.122
0.760,0.070,0.654,-0.122,0.366,-0.366
0.764,0.068,0.649,-0.122,0.549,-0.427
0.762,0.065,0.650,-0.061,0.244,-1.099
0.755,0.057,0.650,0.061,-0.305,-0.488
0.757,0.058,0.658,-0.305,-0.366,0.488
0.761,0.064,0.661,0.244,-0.061,0.610
0.764,0.069,0.656,0.244,0.244,0.549
0.765,0.074,0.650,0.366,0.000,0.183
