aX,aY,aZ,gX,gY,gZ
0.342,-0.076,0.932,-4.700,-12.756,-1.831
0.331,-0.080,0.940,-4.883,-15.747,-1.282
0.291,-0.078,0.931,-5.249,-17.944,-2.808
0.288,-0.086,0.950,-3.540,-5.737,-0.793
0.321,-0.072,0.985,-1.343,-1.404,0.916

0.262,-0.083,0.950,0.427,-5.188,-0.977
0.244,-0.088,0.934,-0.183,-9.277,0.427
0.256,-0.079,0.967,0.305,-8.057,0.488
0.260,-0.072,0.970,0.549,-6.287,-0.671
0.250,-0.072,0.969,1.282,-6.653,-1.099
0.259,-0.081,1.001,-1.526,-6.714,-0.244
0.264,-0.089,1.012,-3.113,-5.066,1.465
0.285,-0.117,1.028,-6.226,-4.089,1.892
0.322,-0.153,1.090,-14.954,-5.127,11.597
0.410,-0.082,1.288,-16.846,9.766,23.376
0.622,0.054,1.720,-35.400,59.021,36.255
0.531,0.135,1.775,-51.147,90.088,29.358
0.494,0.023,1.751,-81.543,118.408,12.939
0.495,0.093,1.901,-90.210,194.214,18.066
0.358,0.129,1.575,-84.778,280.212,-12.939
0.244,0.038,1.090,-102.600,297.607,-29.175
0.257,0.033,0.824,-93.201,281.738,-38.635
0.342,0.031,0.758,-84.045,284.241,-27.771
0.297,0.016,0.477,-72.205,295.227,-29.053
0.196,-0.069,0.021,-53.040,265.930,-25.696
0.216,-0.049,-0.410,-50.964,268.250,-10.071
0.191,0.009,-0.762,-30.457,240.234,-10.925
0.206,0.119,-0.901,4.700,172.607,-12.451
0.212,0.085,-0.944,19.897,84.961,-23.437
0.238,-0.082,-0.935,44.678,-19.958,-31.250
0.308,-0.064,-0.770,33.997,-126.648,-3.906
0.359,-0.004,-0.569,31.921,-214.844,27.100
0.382,0.045,-0.247,57.800,-259.399,32.898
0.317,0.020,-0.006,75.256,-308.960,13.550
